Market,1M,3M,6M,12M,YTD,QTD,Market Type
MSCI World (USD),0.4,6.6,13.2,36.4,18.9,-0.4,Equities
MSCI EM (USD),-0.1,6.2,12.3,26.7,13.6,-3.1,Equities
S&P 500,1.6,8.0,15.9,40.8,23.2,0.9,Equities
Nasdaq Composite,1.9,7.4,18.4,44.8,23.4,1.3,Equities
Euro STOXX 50,0.3,2.7,1.8,25.1,12.4,-1.3,Equities
DAX,2.7,6.2,8.4,30.5,16.0,0.5,Equities
MSCI Italy,2.3,3.6,5.3,34.7,21.4,1.9,Equities
1-3Y US,-0.6,1.6,3.7,6.1,3.6,-0.5,Rates (government bonds)
7-10Y US,-2.8,1.5,6.2,10.4,1.2,-2.8,Rates (government bonds)
1-3Y Germany,0.2,1.5,2.8,4.2,2.4,0.1,Rates (government bonds)
7-10Y Germany,-0.3,2.0,4.6,7.7,0.5,-0.8,Rates (government bonds)
1-3Y Italy,0.3,1.8,3.3,5.9,3.2,0.2,Rates (government bonds)
7-10Y Italy,0.9,3.9,6.8,16.3,5.7,0.2,Rates (government bonds)
iBoxx Non-Financials (EUR),0.6,2.3,4.5,9.6,3.4,0.3,Credit
iBoxx Non-Financials Sen (EUR),0.6,2.3,4.5,9.5,3.3,0.3,Credit
iBoxx Non-Financials Sub (EUR),0.8,2.7,4.7,13.2,6.6,0.7,Credit
iBoxx Financials (EUR),0.7,2.6,5.1,10.8,5.1,0.4,Credit
iBoxx Financials Sen (EUR),0.7,2.5,4.9,10.4,4.8,0.4,Credit
iBoxx Financials Sub (EUR),0.8,3.1,5.8,13.5,6.7,0.6,Credit
iBoxx High Yield NFI (EUR),0.7,2.5,4.6,12.3,5.6,0.6,Credit
EM hard currency* (USD),-1.1,3.3,7.2,17.3,6.7,-1.4,Credit
"Oil (Brent, USD bbl)",1.5,-9.4,-16.2,-17.2,-3.2,3.9,Commodities
Gold (USD oz),2.3,15.0,16.6,37.3,31.8,3.2,Commodities
Bloomberg Commodity Index,-0.9,2.5,-3.7,-5.5,0.6,-1.1,Commodities
EUR-USD,-2.8,-0.2,0.9,2.4,-1.9,-2.8,Exchange rates
EUR-GBP,0.2,1.2,2.8,4.6,3.9,-0.2,Exchange rates
EUR-CHF,0.9,1.9,4.3,1.0,-1.0,0.4,Exchange rates
EUR-JPY,-2.0,1.5,1.6,-3.5,-5.3,-2.7,Exchange rates
EUR-NOK,-0.5,1.2,-0.6,0.0,-5.2,-0.8,Exchange rates
EUR-SEK,-0.9,2.6,2.0,2.9,-2.7,-1.2,Exchange rates
EUR TWI,1.0,3.0,2.1,0.2,0.4,0.0,Exchange rates
EUR-PLN,-1.9,-1.6,-0.9,2.8,-0.2,-1.6,Exchange rates
EUR-HUF,-2.2,-2.9,-2.8,-4.8,-5.1,-1.7,Exchange rates
EUR-CZK,-0.3,0.5,-0.4,-2.1,-2.1,-0.1,Exchange rates
EUR-RON,0.0,-0.1,0.1,-0.2,0.0,0.1,Exchange rates
EUR-TRY,2.3,-3.5,-5.9,-20.0,-12.5,2.5,Exchange rates
EUR-RUB,-2.0,-12.1,-5.5,-5.5,-4.4,-1.2,Exchange rates
